Percentile,Year," Income share
USA"
p90p100,1980,0.34689999
p90p100,1981,0.35100001
p90p100,1982,0.3522
p90p100,1983,0.35820001
p90p100,1984,0.3698
p90p100,1985,0.37099999
p90p100,1986,0.3678
p90p100,1987,0.37810001
p90p100,1988,0.39250001
p90p100,1989,0.3888
p90p100,1990,0.38909999
p90p100,1991,0.38820001
p90p100,1992,0.40099999
p90p100,1993,0.3985
p90p100,1994,0.40079999
p90p100,1995,0.40830001
p90p100,1996,0.4183
p90p100,1997,0.4253
p90p100,1998,0.428
p90p100,1999,0.435
p90p100,2000,0.43959999
p90p100,2001,0.42899999
p90p100,2002,0.42649999
p90p100,2003,0.428
p90p100,2004,0.43869999
p90p100,2005,0.44980001
p90p100,2006,0.46020001
p90p100,2007,0.4569
p90p100,2008,0.45109999
p90p100,2009,0.44330001
p90p100,2010,0.45770001
p90p100,2011,0.4596
p90p100,2012,0.4718
p90p100,2013,0.4655
p90p100,2014,0.4736
p90p100,2015,0.47310001
p90p100,2016,0.46709999
p90p100,2017,0.46759999
p90p100,2018,0.46779999
p90p100,2019,0.46779999
p50p90,1980,0.45559999
p50p90,1981,0.4553
p50p90,1982,0.45910001
p50p90,1983,0.4605
p50p90,1984,0.4524
p50p90,1985,0.45289999
p50p90,1986,0.45660001
p50p90,1987,0.45030001
p50p90,1988,0.4395
p50p90,1989,0.44260001
p50p90,1990,0.44369999
p50p90,1991,0.44690001
p50p90,1992,0.44240001
p50p90,1993,0.44409999
p50p90,1994,0.44229999
p50p90,1995,0.43849999
p50p90,1996,0.43149999
p50p90,1997,0.42629999
p50p90,1998,0.42320001
p50p90,1999,0.41819999
p50p90,2000,0.41389999
p50p90,2001,0.42160001
p50p90,2002,0.42449999
p50p90,2003,0.426
p50p90,2004,0.41890001
p50p90,2005,0.4118
p50p90,2006,0.40439999
p50p90,2007,0.40450001
p50p90,2008,0.41069999
p50p90,2009,0.42019999
p50p90,2010,0.41049999
p50p90,2011,0.41170001
p50p90,2012,0.40239999
p50p90,2013,0.40700001
p50p90,2014,0.40189999
p50p90,2015,0.4021
p50p90,2016,0.40799999
p50p90,2017,0.40560001
p50p90,2018,0.40549999
p50p90,2019,0.40549999
p0p50,1980,0.1974
p0p50,1981,0.1937
p0p50,1982,0.18870001
p0p50,1983,0.1813
p0p50,1984,0.1779
p0p50,1985,0.1776
p0p50,1986,0.17560001
p0p50,1987,0.1716
p0p50,1988,0.168
p0p50,1989,0.16859999
p0p50,1990,0.1672
p0p50,1991,0.1649
p0p50,1992,0.1566
p0p50,1993,0.1574
p0p50,1994,0.1569
p0p50,1995,0.1532
p0p50,1996,0.15019999
p0p50,1997,0.14830001
p0p50,1998,0.1489
p0p50,1999,0.1468
p0p50,2000,0.1464
p0p50,2001,0.1494
p0p50,2002,0.149
p0p50,2003,0.146
p0p50,2004,0.1424
p0p50,2005,0.1384
p0p50,2006,0.1354
p0p50,2007,0.13860001
p0p50,2008,0.1382
p0p50,2009,0.1364
p0p50,2010,0.1319
p0p50,2011,0.1287
p0p50,2012,0.1258
p0p50,2013,0.1274
p0p50,2014,0.1244
p0p50,2015,0.1248
p0p50,2016,0.1249
p0p50,2017,0.1267
p0p50,2018,0.1267
p0p50,2019,0.1267
p99p100,1980,0.1118
p99p100,1981,0.1146
p99p100,1982,0.1164
p99p100,1983,0.1195
p99p100,1984,0.1287
p99p100,1985,0.1309
p99p100,1986,0.1259
p99p100,1987,0.1356
p99p100,1988,0.15260001
p99p100,1989,0.1476
p99p100,1990,0.14830001
p99p100,1991,0.1418
p99p100,1992,0.15350001
p99p100,1993,0.1495
p99p100,1994,0.14920001
p99p100,1995,0.1548
p99p100,1996,0.1628
p99p100,1997,0.16940001
p99p100,1998,0.1715
p99p100,1999,0.17839999
p99p100,2000,0.1839
p99p100,2001,0.1749
p99p100,2002,0.17110001
p99p100,2003,0.1732
p99p100,2004,0.1833
p99p100,2005,0.1943
p99p100,2006,0.2013
p99p100,2007,0.1989
p99p100,2008,0.19419999
p99p100,2009,0.1847
p99p100,2010,0.1988
p99p100,2011,0.19679999
p99p100,2012,0.20909999
p99p100,2013,0.1961
p99p100,2014,0.2035
p99p100,2015,0.20190001
p99p100,2016,0.1964
p99p100,2017,0.2051
p99p100,2018,0.2053
p99p100,2019,0.2052

